x	z
0.01612	0.05322
0.04878	0.05164
0.12553	0.04901
0.14906	0.04835
0.16907	0.04782
0.24937	0.04593
0.26192	0.04563
0.34969	0.04398
0.42663	0.04433
0.44849	0.04498
0.45007	0.04505
0.51314	0.04941
0.54342	0.05151
0.55061	0.05232
0.55981	0.05334
0.65133	0.06754
0.69301	0.07883
0.70627	0.08397
0.75272	0.10764
0.82145	0.17582
0.82198	0.17653
0.82564	0.18180
0.85643	0.25048
0.85864	0.25617
0.86378	0.27729
0.87310	0.34635
0.87650	0.37925
0.87983	0.43039
0.88049	0.76582
0.88075	0.68650
0.88092	0.78896
0.88104	0.66174
0.88164	0.48151
0.88204	0.58397
0.88215	0.56160
0.88263	0.82007
0.88426	0.84980
0.88789	0.89115
0.89325	0.93389
0.90283	0.99302
0.90766	1.01811
0.92590	1.09455
0.92814	1.10248
0.94090	1.14337
0.95630	1.18709
0.95952	1.19569
0.97940	1.24299
0.98849	1.26308
1.00412	1.29634
1.03629	1.35722
1.05795	1.39659
1.06402	1.40719
1.08418	1.43978
1.11178	1.48408
1.11991	1.49637
1.17191	1.57026
1.19139	1.59601
1.25055	1.66843
1.27276	1.69517
1.28701	1.71286
1.29071	1.71745
1.29135	1.71820
1.29883	1.72677
1.34888	1.78116
1.36132	1.79463
1.39439	1.82822
1.41185	1.84537
1.46325	1.89458
1.49687	1.92373
1.54199	1.96144
1.57741	1.99000
1.59907	2.00752
1.64293	2.04139
1.70110	2.08482
1.70469	2.08738
1.72179	2.09959
1.80321	2.15517
1.81669	2.16398
1.85128	2.18401
1.87994	2.19932
1.90478	2.21087
1.96632	2.23776
2.00618	2.25437
2.01839	2.25919
2.08097	2.28080
2.09275	2.28473
2.10745	2.28963
2.16977	2.31012
2.20869	2.32346
2.27103	2.34541
2.30578	2.35764
2.33721	2.36843
2.37984	2.38318
2.41091	2.39430
2.47246	2.41368
2.51187	2.42427
2.57074	2.43603
2.61266	2.44268
2.62402	2.44413
2.68616	2.45005
2.71326	2.45242
2.73601	2.45433
2.81381	2.46047
2.83008	2.46156
2.88766	2.46456
2.91428	2.46531
2.95115	2.46576
3.01466	2.46620
3.06739	2.46515
3.08851	2.46472
3.11497	2.46399
3.20094	2.45984
3.21524	2.45964
3.23020	2.45955
3.31573	2.46354
3.32523	2.46539
3.41687	2.49690
3.45345	2.51997
3.46220	2.52745
3.46548	2.53036
3.51950	2.58791
3.53203	2.60385
3.54648	2.62656
3.58057	2.68795
3.60416	2.73622
3.62462	2.78247
3.64180	2.82762
3.65257	2.85822
3.67626	2.92875
3.68120	2.94304
3.70776	3.01711
3.71252	3.02980
3.72114	3.05066
3.73110	3.07478
3.73744	3.08802
3.76008	3.13035
3.81497	3.20881
3.83512	3.23158
3.84326	3.23967
3.93698	3.31505
3.95656	3.32739
4.00454	3.35381
4.03910	3.37095
4.09162	3.39119
4.14971	3.40972
4.18945	3.42047
4.22966	3.43249
4.24170	3.43628
4.29219	3.45160
4.34265	3.46871
4.37824	3.48081
4.41184	3.49315
4.44352	3.50268
4.47304	3.51137
4.54249	3.52865
4.55128	3.53031
4.59147	3.53790
4.64513	3.54471
4.68719	3.54795
4.74566	3.55032
4.78129	3.55089
4.84607	3.55100
4.92188	3.54903
4.94637	3.54801
5.03178	3.54163
5.04655	3.54050
5.14229	3.53150
5.14670	3.53111
5.18914	3.52752
5.24686	3.52233
5.25288	3.52172
5.34696	3.51092
5.36426	3.50854
5.44696	3.49536
5.47676	3.49011
5.54529	3.47723
5.54692	3.47692
5.59501	3.46578
5.64671	3.45260
5.70566	3.43435
5.74632	3.42072
5.82236	3.39378
5.84587	3.38552
5.85467	3.38247
5.89969	3.36750
5.96125	3.34764
5.98207	3.34051
6.04509	3.31724
6.05681	3.31248
6.14451	3.27393
6.18638	3.25433
6.22554	3.23449
6.24374	3.22468
6.29835	3.19583
6.34286	3.17229
6.36157	3.16221
6.43399	3.12208
6.44192	3.11759
6.46813	3.10241
6.52780	3.06784
6.53946	3.06104
6.54096	3.06017
6.60279	3.02365
6.61935	3.01333
6.63991	2.99965
6.66931	2.98016
6.73870	2.93446
6.75605	2.92324
6.78512	2.90358
6.81200	2.88411
6.83725	2.86475
6.85688	2.84964
6.93338	2.79136
6.93615	2.78923
6.97244	2.76077
6.99886	2.74002
7.03454	2.71181
7.05362	2.69664
7.06512	2.68714
7.11700	2.64431
7.13306	2.63081
7.15665	2.61075
7.19290	2.57954
7.21556	2.55951
7.23155	2.54500
7.24757	2.53022
7.27033	2.50910
7.30981	2.47246
7.31488	2.46775
7.32993	2.45365
7.35252	2.43128
7.39629	2.38746
7.41730	2.36579
7.42808	2.35360
7.46479	2.30906
7.50315	2.25964
7.51165	2.24833
7.52546	2.22797
7.56178	2.17181
7.57225	2.15429
7.58733	2.12827
7.62195	2.06389
7.62845	2.05075
7.62905	2.04951
7.66420	1.96989
7.67404	1.94517
7.69327	1.88698
7.71058	1.83040
7.71659	1.80783
7.73169	1.74844
7.73418	1.73776
7.73822	1.72047
7.74557	0.91744
7.74656	0.88221
7.74697	0.96645
7.75095	1.01986
7.75168	1.65644
7.75315	0.81427
7.75332	1.64859
7.75386	1.05056
7.75545	1.63712
7.75594	1.63441
7.76306	1.12179
7.76448	1.13452
7.76870	1.55371
7.77116	1.53134
7.77143	1.19402
7.77362	1.21857
7.77381	0.75614
7.77399	1.22378
7.77413	1.49580
7.77452	1.23190
7.77845	1.42856
7.77909	1.36317
7.77914	1.32606
7.78205	0.73551
7.79188	0.71787
7.80576	0.71367
7.81329	0.71200
7.84024	0.70541
7.84409	0.70447
7.89204	0.70300
7.98325	0.73894
8.09452	0.78964
8.11969	0.79919
8.14756	0.81189
8.29730	0.87411
8.30227	0.87535
8.31525	0.87710
8.39834	0.88523
8.42187	0.88993
8.48502	0.93153
8.49991	0.94836
8.51356	0.98850
8.51397	0.98978
8.53961	1.07334
8.54450	1.08973
8.56615	1.15809
8.57718	1.19088
8.58529	1.21419
8.58708	1.21889
8.60748	1.27226
8.61627	1.29171
8.64469	1.35208
8.66478	1.39213
8.68818	1.43623
8.72143	1.49232
8.74809	1.53181
8.78558	1.58342
8.79167	1.59195
8.81629	1.62478
8.82986	1.64137
8.87226	1.69114
8.87960	1.69979
8.91947	1.74523
8.94103	1.76919
8.96019	1.79005
