x	z
0.06474	0.00467
0.08263	0.00402
0.16502	0.00087
0.19197	-0.00004
0.26531	-0.00208
0.30104	-0.00282
0.36563	-0.00393
0.42079	-0.00469
0.46597	-0.00475
0.51405	0.00000
0.56626	0.00000
0.56632	0.00000
0.60725	0.00000
0.66663	0.00000
0.70057	0.00000
0.76701	0.00000
0.79518	-0.00466
0.86768	0.00607
0.88374	0.01074
0.92881	0.03114
0.95934	0.05663
0.96973	0.06970
0.98947	0.74627
0.99101	0.68299
0.99302	0.64364
0.99353	0.10990
0.99371	0.63302
0.99446	0.84511
0.99479	0.84853
0.99500	0.85075
0.99591	0.59931
0.99612	0.86117
1.00122	0.54082
1.00209	0.13088
1.00395	0.51575
1.00824	0.93498
1.01153	0.95034
1.01359	0.43786
1.01418	0.43224
1.01481	0.18116
1.01670	0.40813
1.02161	0.34868
1.02172	0.23260
1.02222	0.33503
1.02297	0.31332
1.02961	1.01952
1.04006	1.05165
1.05962	1.10417
1.07903	1.15249
1.08649	1.17115
1.09563	1.19252
1.11754	1.24176
1.12291	1.25316
1.13286	1.27392
1.17304	1.35357
1.19109	1.38890
1.20090	1.40712
1.22539	1.44686
1.22966	1.45376
1.27718	1.52955
1.29287	1.55386
1.29948	1.56389
1.30494	1.57215
1.33259	1.60795
1.36848	1.65321
1.38055	1.66750
1.40802	1.69787
1.44262	1.73525
1.45862	1.75198
1.48475	1.77799
1.51089	1.80345
1.52000	1.81189
1.56257	1.85013
1.58223	1.86750
1.61345	1.89422
1.62069	1.90017
1.68008	1.94767
1.69010	1.95535
1.71578	1.97387
1.72314	1.97884
1.76983	2.01045
1.81772	2.04147
1.82226	2.04426
1.91919	2.09994
1.91931	2.10000
1.91933	2.10001
1.91973	2.10023
1.99646	2.13964
2.02086	2.15142
2.07620	2.17440
2.11129	2.18898
2.12216	2.19328
2.12730	2.19532
2.20812	2.22669
2.22292	2.23283
2.22346	2.23306
2.22432	2.23343
2.23348	2.23737
2.32152	2.27702
2.32479	2.27848
2.33337	2.28232
2.42615	2.32451
2.43299	2.32714
2.52582	2.35686
2.53752	2.36020
2.62826	2.38188
2.63638	2.38376
2.72916	2.40342
2.79665	2.41355
2.80063	2.41410
2.82986	2.41716
2.84071	2.41766
2.92456	2.42028
2.93030	2.42042
3.01790	2.42016
3.03066	2.42017
3.03383	2.42022
3.11156	2.42145
3.13104	2.42168
3.20551	2.42449
3.23148	2.42554
3.29989	2.43021
3.33198	2.43370
3.39705	2.44366
3.43259	2.45451
3.44772	2.45957
3.50557	2.48785
3.52729	2.50156
3.53434	2.50837
3.59663	2.57393
3.60766	2.58640
3.62876	2.61411
3.63894	2.62882
3.67557	2.68569
3.67792	2.68934
3.69160	2.71075
3.74155	2.78972
3.75464	2.81020
3.78790	2.86033
3.80483	2.88554
3.81035	2.89395
3.81433	2.89979
3.85219	2.95536
3.87299	2.98516
3.90502	3.03141
3.94138	3.08482
3.94926	3.09591
4.00666	3.17146
