x	z
0.09616	-0.00294
0.09774	-0.00298
0.09909	-0.00301
0.11705	-0.00335
0.19244	-0.00313
0.19811	-0.00296
0.20109	-0.00285
0.29232	0.00240
0.29861	0.00278
0.32409	0.00429
0.39910	0.00863
0.46692	0.01034
0.49951	0.01064
0.57945	0.00927
0.59983	0.00898
0.60356	0.00892
0.61110	0.00884
0.70020	0.00782
0.72005	0.01089
0.76275	0.02781
0.80215	0.04990
0.82950	0.08757
0.83373	0.10110
0.83930	0.12665
0.84229	0.20343
0.84362	0.24736
0.84520	0.30580
0.84925	0.37919
0.85109	0.40803
0.85442	0.46317
0.85695	0.51026
0.85893	0.54713
0.86246	0.61251
0.86360	0.63109
0.86988	0.71468
0.86991	0.71507
0.87006	0.71690
0.87659	0.79914
0.87837	0.81683
0.88075	0.83813
0.88580	0.88338
0.89162	0.91881
0.90286	0.96772
0.91824	1.02016
0.92425	1.03702
0.95441	1.11086
0.95897	1.12093
0.96678	1.13722
1.01128	1.22125
1.01448	1.22717
1.02986	1.25398
1.03301	1.25943
1.06864	1.32137
1.13330	1.41974
1.13401	1.42074
1.13432	1.42117
1.18062	1.47846
1.21604	1.52040
1.23719	1.54450
1.28598	1.59697
1.30738	1.61907
1.32208	1.63442
1.34003	1.65275
1.35231	1.66523
1.37324	1.68609
1.40478	1.71752
1.43061	1.74182
1.44273	1.75288
1.50881	1.81182
1.51306	1.81554
1.51872	1.82051
1.54515	1.84310
1.54806	1.84541
1.60723	1.89255
1.64733	1.92281
1.72382	1.97389
1.74922	1.99048
1.77228	2.00423
1.78097	2.00950
1.84580	2.04884
1.85106	2.05192
1.86855	2.06188
1.91841	2.08900
1.95271	2.10751
1.97777	2.12110
2.05437	2.16277
2.09655	2.18467
2.12938	2.20020
2.15580	2.21161
2.20343	2.23261
2.21469	2.23757
2.25721	2.25558
2.34735	2.28766
2.35835	2.29123
2.36469	2.29318
2.44748	2.31540
2.45936	2.31838
2.48756	2.32502
2.56026	2.34209
2.58637	2.34866
2.66121	2.36768
2.68338	2.37312
2.72184	2.38093
2.76205	2.38838
2.82722	2.39710
2.85715	2.40024
2.86269	2.40073
2.87843	2.40193
2.96312	2.40460
2.97248	2.40479
