x	z
0.03276	0.05659
0.05960	0.05559
0.13304	0.05314
0.16883	0.05188
0.23332	0.04954
0.27819	0.04759
0.33359	0.04524
0.38070	0.04456
0.43399	0.04544
0.47488	0.04843
0.53456	0.05461
0.57035	0.05820
0.63515	0.06585
0.66059	0.06899
0.70811	0.07562
0.73582	0.08306
0.78015	0.10497
0.83748	0.14274
0.85299	0.15735
0.86291	0.17288
0.86385	0.17480
0.88807	0.22446
0.90489	0.27374
0.91157	0.30928
0.91862	0.78566
0.91911	0.74261
0.91942	0.37574
0.92052	0.87430
0.92078	0.68309
0.92118	0.88803
0.92145	0.39386
0.92165	0.89684
0.92424	0.93750
0.92464	0.61011
0.92578	0.58042
0.92711	0.47782
0.92711	0.47788
0.92711	0.47790
0.92711	0.47792
0.92780	0.98085
0.92865	0.99020
0.93679	1.06504
0.94086	1.09218
0.95555	1.16228
0.96143	1.19036
0.96206	1.19271
0.96234	1.19377
0.96459	1.20190
0.99553	1.29495
1.00446	1.31849
1.03645	1.39571
1.04085	1.40625
1.05652	1.44339
1.06883	1.47134
1.07032	1.47462
1.08077	1.49636
1.11821	1.57316
1.13050	1.59680
1.13991	1.61503
1.17386	1.67579
1.18747	1.69699
1.22013	1.74370
1.26470	1.80571
1.27750	1.82220
1.33112	1.88270
1.34291	1.89555
1.36909	1.92294
1.38045	1.93451
1.43587	1.99069
1.43931	1.99405
1.45760	2.01079
1.48047	2.03173
1.48319	2.03411
1.48449	2.03526
1.51619	2.06229
1.54840	2.08899
1.55190	2.09187
1.58547	2.11827
1.59322	2.12367
1.68537	2.18588
1.69013	2.18874
1.77629	2.23572
1.78901	2.24232
1.82054	2.25792
1.87610	2.28358
1.89046	2.28967
1.95543	2.31731
1.97165	2.32381
1.99183	2.33191
2.01503	2.34080
2.09309	2.36987
2.11283	2.37662
2.18428	2.40183
2.19421	2.40529
2.21813	2.41320
2.29530	2.43719
2.31853	2.44407
2.34452	2.45116
2.39635	2.46530
2.40172	2.46678
2.48561	2.48874
2.49734	2.49151
2.51683	2.49617
